CVE-ID,poc,苹果描述,影响,模块,版本,
CVE-2016-1792,未发现,内存损坏问题已通过改进内存处理得到解决。,应用程序或许能够以内核权限执行任意代码,AMD,OS X El Capitan v10.11 及更高版本,
CVE-2016-1791,未发现,存在导致内核内存内容泄露的问题。此问题已通过改进边界检查得到解决。,"应用程序或许能够确定内核内存布局
","AMD
",OS X Mavericks v10.9.5、OS X Yosemite v10.10.5 和 OS X El Capitan v10.11 及更高版本,
"CVE-2015-8865：
CVE-2016-3141：
CVE-2016-3142：
CVE-2016-4070：
CVE-2016-4071：
CVE-2016-4072：
CVE-2016-4073：",O(∩_∩)O~,版本 5.5.34 之前的 PHP 版本中存在多个漏洞。这些漏洞已通过将 PHP 更新至版本 5.5.34 得到解决。,PHP 中存在多个漏洞,apache_mod_php,OS X El Capitan v10.11 及更高版本,
"CVE-2016-1793：
CVE-2016-1794：",未发现,空指针取消引用问题已通过改进验证得到解决。,应用程序或许能够以内核权限执行任意代码,AppleGraphicsControl,OS X El Capitan v10.11 及更高版本,
CVE-2016-1795：,未发现,内存损坏问题已通过改进内存处理得到解决。,应用程序或许能够以内核权限执行任意代码,AppleGraphicsPowerManagement,"OS X El Capitan v10.11 及更高版本
",
CVE-2016-1796,未发现,"越界内存访问问题已通过改进内存处理得到解决。
",应用程序或许能够确定内核内存布局,ATS,"OS X El Capitan v10.11 及更高版本
",
CVE-2016-1797,未发现,沙箱政策中存在问题。此问题已通过对 FontValidator 进行沙箱化处理得到解决。,"应用程序或许能够以系统权限执行任意代码
",ATS,OS X El Capitan v10.11 及更高版本,
CVE-2016-1798,未发现,"空指针取消引用问题已通过改进验证得到解决。
",应用程序或许能够导致服务遭拒,"音频
","OS X Yosemite v10.10.5 和 OS X El Capitan v10.11 及更高版本
",
CVE-2016-1799,未发现,内存损坏问题已通过改进输入验证得到解决。,"应用程序或许能够以内核权限执行任意代码
","音频
","OS X El Capitan v10.11 及更高版本
",
CVE-2016-1800,未发现,自定 URL 方案处理问题已通过改进输入验证得到解决。,"拥有特权网络地位的攻击者或许能够在用户的帮助下执行任意代码
","俘获型网络助理
",OS X Mavericks v10.9.5、OS X Yosemite v10.10.5 和 OS X El Capitan v10.11 及更高版本,
CVE-2016-1801,未发现,"处理 HTTP 和 HTTPS 请求时存在信息泄露问题。此问题已通过改进 URL 处理方式得到解决。
","拥有特权网络地位的攻击者或许能够泄露敏感用户信息
","CFNetwork Proxies
",OS X El Capitan v10.11 及更高版本,
CVE-2016-1802,未发现,处理 CCCrypt 中的返回值时存在问题。此问题已通过改进密钥长度管理得到解决。,恶意应用程序或许能够泄露敏感用户信息,CommonCrypto,OS X El Capitan v10.11 及更高版本,
CVE-2016-1803,未发现,"空指针取消引用问题已通过改进验证得到解决。
",应用程序或许能够以内核权限执行任意代码,CoreCapture,OS X El Capitan v10.11 及更高版本,
CVE-2016-1805,未发现,配置问题已通过额外的限制得到解决,应用程序或许能够以内核权限执行任意代码,CoreStorage,OS X El Capitan v10.11 及更高版本,
CVE-2016-1806,未发现,"配置问题已通过额外的限制得到解决。
",应用程序或许能够以根权限执行任意代码,"崩溃报告程序
",OS X El Capitan v10.11 及更高版本,
CVE-2016-1807,未发现,竞态条件问题已通过改进锁定得到解决,本地攻击者或许能够读取内核内存,磁盘映像,OS X El Capitan v10.11 及更高版本,
CVE-2016-1808,未发现,解析磁盘映像时存在内存损坏问题。此问题已通过改进内存处理得到解决。,应用程序或许能够以内核权限执行任意代码,磁盘映像,OS X El Capitan v10.11 及更高版本,
CVE-2016-1809,未发现,加密磁盘映像时使用了不正确的密钥。此问题已通过更新加密密钥得到解决。,磁盘工具无法压缩和加密磁盘映像,,OS X El Capitan v10.11 及更高版本,
CVE-2016-1810,未发现,多个内存损坏问题已通过改进内存处理得到解决。,应用程序或许能够以内核权限执行任意代码,显卡驱动程序,OS X El Capitan v10.11 及更高版本,
CVE-2016-1811,未发现,空指针取消引用问题已通过改进验证得到解决。,处理恶意制作的映像可能会导致服务遭拒,ImageIO,"OS X El Capitan v10.11 及更高版本
",
CVE-2016-1812,未发现,缓冲区溢出问题已通过改进边界检查得到解决。,应用程序或许能够以内核权限执行任意代码,Intel 显卡驱动程序,OS X El Capitan v10.11 及更高版本,
CVE-2016-1814,未发现,"空指针取消引用问题已通过改进锁定得到解决。
",应用程序或许能够导致服务遭拒,IOAcceleratorFamily,OS X El Capitan v10.11 及更高版本,
